dataset,condition_dir,strategy,graph_path,task,correct_answer,correct_answer_label,revisit_correct_answer,placeholder_node,placeholder_node_label,placeholder_node_a,placeholder_node_b,target_community_index,correct_answer_count,computation
condition_1_graph_01,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_01.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_01,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_01.json,T2,n104,104,"[{""id"": ""task-answer"", ""answer"": ""[\""n104\""]""}]",,,n001,n019,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_01,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_01.json,T3,n003;n009;n014;n017;n020;n022;n024;n026;n027;n028;n030;n031;n033;n038;n041;n044;n049;n052;n060;n062;n064;n066;n073;n077;n080;n083;n087;n090;n093;n094;n099;n101;n113;n115,3;9;14;17;20;22;24;26;27;28;30;31;33;38;41;44;49;52;60;62;64;66;73;77;80;83;87;90;93;94;99;101;113;115,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n009\"", \""n014\"", \""n017\"", \""n020\"", \""n022\"", \""n024\"", \""n026\"", \""n027\"", \""n028\"", \""n030\"", \""n031\"", \""n033\"", \""n038\"", \""n041\"", \""n044\"", \""n049\"", \""n052\"", \""n060\"", \""n062\"", \""n064\"", \""n066\"", \""n073\"", \""n077\"", \""n080\"", \""n083\"", \""n087\"", \""n090\"", \""n093\"", \""n094\"", \""n099\"", \""n101\"", \""n113\"", \""n115\""]""}]",n115,115,,,3,34,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_02,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_02.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_02,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_02.json,T2,n114,114,"[{""id"": ""task-answer"", ""answer"": ""[\""n114\""]""}]",,,n004,n002,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_02,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_02.json,T3,n002;n005;n009;n019;n021;n025;n028;n030;n033;n038;n043;n046;n049;n053;n057;n058;n062;n064;n067;n072;n073;n074;n075;n076;n079;n081;n089;n092;n093;n099;n103;n104;n105;n110;n116;n117,2;5;9;19;21;25;28;30;33;38;43;46;49;53;57;58;62;64;67;72;73;74;75;76;79;81;89;92;93;99;103;104;105;110;116;117,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n005\"", \""n009\"", \""n019\"", \""n021\"", \""n025\"", \""n028\"", \""n030\"", \""n033\"", \""n038\"", \""n043\"", \""n046\"", \""n049\"", \""n053\"", \""n057\"", \""n058\"", \""n062\"", \""n064\"", \""n067\"", \""n072\"", \""n073\"", \""n074\"", \""n075\"", \""n076\"", \""n079\"", \""n081\"", \""n089\"", \""n092\"", \""n093\"", \""n099\"", \""n103\"", \""n104\"", \""n105\"", \""n110\"", \""n116\"", \""n117\""]""}]",n117,117,,,1,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_03,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_03.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_03,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_03.json,T2,n086,86,"[{""id"": ""task-answer"", ""answer"": ""[\""n086\""]""}]",,,n002,n092,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_03,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_03.json,T3,n002;n004;n007;n008;n014;n017;n021;n022;n026;n031;n036;n041;n043;n044;n051;n053;n054;n056;n061;n064;n068;n069;n070;n073;n074;n080;n086;n087;n095;n097;n098;n105;n110;n115;n118;n119,2;4;7;8;14;17;21;22;26;31;36;41;43;44;51;53;54;56;61;64;68;69;70;73;74;80;86;87;95;97;98;105;110;115;118;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n004\"", \""n007\"", \""n008\"", \""n014\"", \""n017\"", \""n021\"", \""n022\"", \""n026\"", \""n031\"", \""n036\"", \""n041\"", \""n043\"", \""n044\"", \""n051\"", \""n053\"", \""n054\"", \""n056\"", \""n061\"", \""n064\"", \""n068\"", \""n069\"", \""n070\"", \""n073\"", \""n074\"", \""n080\"", \""n086\"", \""n087\"", \""n095\"", \""n097\"", \""n098\"", \""n105\"", \""n110\"", \""n115\"", \""n118\"", \""n119\""]""}]",n119,119,,,0,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_04,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_04.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_04,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_04.json,T2,n081,81,"[{""id"": ""task-answer"", ""answer"": ""[\""n081\""]""}]",,,n002,n075,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_04,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_04.json,T3,n002;n007;n009;n010;n012;n013;n017;n020;n021;n022;n025;n029;n038;n039;n040;n042;n046;n047;n049;n051;n053;n054;n055;n056;n058;n060;n062;n063;n064;n067;n070;n071;n074;n077;n080;n081;n083;n086;n087;n089;n092;n096;n098;n099;n103;n104;n107;n109;n110;n112;n118;n120,2;7;9;10;12;13;17;20;21;22;25;29;38;39;40;42;46;47;49;51;53;54;55;56;58;60;62;63;64;67;70;71;74;77;80;81;83;86;87;89;92;96;98;99;103;104;107;109;110;112;118;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n007\"", \""n009\"", \""n010\"", \""n012\"", \""n013\"", \""n017\"", \""n020\"", \""n021\"", \""n022\"", \""n025\"", \""n029\"", \""n038\"", \""n039\"", \""n040\"", \""n042\"", \""n046\"", \""n047\"", \""n049\"", \""n051\"", \""n053\"", \""n054\"", \""n055\"", \""n056\"", \""n058\"", \""n060\"", \""n062\"", \""n063\"", \""n064\"", \""n067\"", \""n070\"", \""n071\"", \""n074\"", \""n077\"", \""n080\"", \""n081\"", \""n083\"", \""n086\"", \""n087\"", \""n089\"", \""n092\"", \""n096\"", \""n098\"", \""n099\"", \""n103\"", \""n104\"", \""n107\"", \""n109\"", \""n110\"", \""n112\"", \""n118\"", \""n120\""]""}]",n120,120,,,0,52,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_05,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_05.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_05,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_05.json,T2,n062,62,"[{""id"": ""task-answer"", ""answer"": ""[\""n062\""]""}]",,,n001,n014,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_05,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_05.json,T3,n002;n003;n007;n009;n014;n021;n023;n027;n033;n040;n041;n042;n050;n052;n053;n055;n056;n059;n061;n063;n069;n071;n073;n075;n077;n081;n083;n084;n085;n090;n095;n105;n109;n110;n112;n113;n115,2;3;7;9;14;21;23;27;33;40;41;42;50;52;53;55;56;59;61;63;69;71;73;75;77;81;83;84;85;90;95;105;109;110;112;113;115,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n003\"", \""n007\"", \""n009\"", \""n014\"", \""n021\"", \""n023\"", \""n027\"", \""n033\"", \""n040\"", \""n041\"", \""n042\"", \""n050\"", \""n052\"", \""n053\"", \""n055\"", \""n056\"", \""n059\"", \""n061\"", \""n063\"", \""n069\"", \""n071\"", \""n073\"", \""n075\"", \""n077\"", \""n081\"", \""n083\"", \""n084\"", \""n085\"", \""n090\"", \""n095\"", \""n105\"", \""n109\"", \""n110\"", \""n112\"", \""n113\"", \""n115\""]""}]",n115,115,,,1,37,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_06,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_06.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_06,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_06.json,T2,n115,115,"[{""id"": ""task-answer"", ""answer"": ""[\""n115\""]""}]",,,n011,n033,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_06,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_06.json,T3,n001;n002;n004;n007;n008;n020;n021;n022;n024;n025;n030;n032;n039;n040;n043;n049;n054;n055;n058;n060;n061;n068;n069;n071;n072;n077;n079;n086;n088;n090;n107;n108;n109;n113;n114;n119,1;2;4;7;8;20;21;22;24;25;30;32;39;40;43;49;54;55;58;60;61;68;69;71;72;77;79;86;88;90;107;108;109;113;114;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n002\"", \""n004\"", \""n007\"", \""n008\"", \""n020\"", \""n021\"", \""n022\"", \""n024\"", \""n025\"", \""n030\"", \""n032\"", \""n039\"", \""n040\"", \""n043\"", \""n049\"", \""n054\"", \""n055\"", \""n058\"", \""n060\"", \""n061\"", \""n068\"", \""n069\"", \""n071\"", \""n072\"", \""n077\"", \""n079\"", \""n086\"", \""n088\"", \""n090\"", \""n107\"", \""n108\"", \""n109\"", \""n113\"", \""n114\"", \""n119\""]""}]",n119,119,,,2,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_07,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_07.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_07,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_07.json,T2,n102,102,"[{""id"": ""task-answer"", ""answer"": ""[\""n102\""]""}]",,,n004,n044,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_07,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_07.json,T3,n011;n015;n021;n023;n034;n039;n041;n047;n050;n056;n059;n061;n065;n068;n074;n078;n082;n083;n086;n089;n091;n095;n096;n099;n100;n106;n108;n109;n114;n115,11;15;21;23;34;39;41;47;50;56;59;61;65;68;74;78;82;83;86;89;91;95;96;99;100;106;108;109;114;115,"[{""id"": ""task-answer"", ""answer"": ""[\""n011\"", \""n015\"", \""n021\"", \""n023\"", \""n034\"", \""n039\"", \""n041\"", \""n047\"", \""n050\"", \""n056\"", \""n059\"", \""n061\"", \""n065\"", \""n068\"", \""n074\"", \""n078\"", \""n082\"", \""n083\"", \""n086\"", \""n089\"", \""n091\"", \""n095\"", \""n096\"", \""n099\"", \""n100\"", \""n106\"", \""n108\"", \""n109\"", \""n114\"", \""n115\""]""}]",n115,115,,,3,30,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_08,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_08.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_08,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_08.json,T2,n108,108,"[{""id"": ""task-answer"", ""answer"": ""[\""n108\""]""}]",,,n002,n010,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_08,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_08.json,T3,n006;n007;n010;n012;n013;n019;n028;n029;n032;n035;n036;n039;n042;n045;n046;n048;n050;n057;n064;n066;n067;n072;n077;n085;n087;n095;n096;n099;n101;n103;n107;n108;n110;n114;n116;n118,6;7;10;12;13;19;28;29;32;35;36;39;42;45;46;48;50;57;64;66;67;72;77;85;87;95;96;99;101;103;107;108;110;114;116;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n006\"", \""n007\"", \""n010\"", \""n012\"", \""n013\"", \""n019\"", \""n028\"", \""n029\"", \""n032\"", \""n035\"", \""n036\"", \""n039\"", \""n042\"", \""n045\"", \""n046\"", \""n048\"", \""n050\"", \""n057\"", \""n064\"", \""n066\"", \""n067\"", \""n072\"", \""n077\"", \""n085\"", \""n087\"", \""n095\"", \""n096\"", \""n099\"", \""n101\"", \""n103\"", \""n107\"", \""n108\"", \""n110\"", \""n114\"", \""n116\"", \""n118\""]""}]",n118,118,,,1,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_09,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_09.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_09,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_09.json,T2,n113,113,"[{""id"": ""task-answer"", ""answer"": ""[\""n113\""]""}]",,,n001,n010,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_09,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_09.json,T3,n001;n005;n006;n008;n009;n011;n017;n018;n022;n023;n025;n026;n027;n028;n030;n031;n034;n036;n037;n040;n042;n045;n052;n055;n056;n059;n060;n061;n062;n063;n064;n066;n067;n069;n073;n075;n079;n083;n091;n092;n095;n098;n102;n104;n105;n106;n107;n108;n113;n114;n118,1;5;6;8;9;11;17;18;22;23;25;26;27;28;30;31;34;36;37;40;42;45;52;55;56;59;60;61;62;63;64;66;67;69;73;75;79;83;91;92;95;98;102;104;105;106;107;108;113;114;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n005\"", \""n006\"", \""n008\"", \""n009\"", \""n011\"", \""n017\"", \""n018\"", \""n022\"", \""n023\"", \""n025\"", \""n026\"", \""n027\"", \""n028\"", \""n030\"", \""n031\"", \""n034\"", \""n036\"", \""n037\"", \""n040\"", \""n042\"", \""n045\"", \""n052\"", \""n055\"", \""n056\"", \""n059\"", \""n060\"", \""n061\"", \""n062\"", \""n063\"", \""n064\"", \""n066\"", \""n067\"", \""n069\"", \""n073\"", \""n075\"", \""n079\"", \""n083\"", \""n091\"", \""n092\"", \""n095\"", \""n098\"", \""n102\"", \""n104\"", \""n105\"", \""n106\"", \""n107\"", \""n108\"", \""n113\"", \""n114\"", \""n118\""]""}]",n118,118,,,0,51,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_10,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_10.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_10,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_10.json,T2,n105,105,"[{""id"": ""task-answer"", ""answer"": ""[\""n105\""]""}]",,,n002,n001,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_10,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_10.json,T3,n002;n003;n004;n007;n008;n010;n011;n016;n018;n019;n021;n022;n025;n030;n042;n043;n046;n048;n054;n060;n061;n062;n066;n067;n068;n069;n072;n076;n082;n085;n088;n090;n091;n094;n095;n098;n105;n109;n113;n116;n117;n119,2;3;4;7;8;10;11;16;18;19;21;22;25;30;42;43;46;48;54;60;61;62;66;67;68;69;72;76;82;85;88;90;91;94;95;98;105;109;113;116;117;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n003\"", \""n004\"", \""n007\"", \""n008\"", \""n010\"", \""n011\"", \""n016\"", \""n018\"", \""n019\"", \""n021\"", \""n022\"", \""n025\"", \""n030\"", \""n042\"", \""n043\"", \""n046\"", \""n048\"", \""n054\"", \""n060\"", \""n061\"", \""n062\"", \""n066\"", \""n067\"", \""n068\"", \""n069\"", \""n072\"", \""n076\"", \""n082\"", \""n085\"", \""n088\"", \""n090\"", \""n091\"", \""n094\"", \""n095\"", \""n098\"", \""n105\"", \""n109\"", \""n113\"", \""n116\"", \""n117\"", \""n119\""]""}]",n119,119,,,0,42,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_11,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_11.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_11,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_11.json,T2,n051,51,"[{""id"": ""task-answer"", ""answer"": ""[\""n051\""]""}]",,,n002,n036,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_11,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_11.json,T3,n001;n004;n005;n008;n009;n012;n017;n022;n024;n025;n026;n027;n030;n033;n036;n037;n045;n046;n050;n051;n053;n056;n059;n060;n063;n064;n066;n068;n069;n080;n081;n084;n094;n095;n105;n110;n116;n117;n119;n120,1;4;5;8;9;12;17;22;24;25;26;27;30;33;36;37;45;46;50;51;53;56;59;60;63;64;66;68;69;80;81;84;94;95;105;110;116;117;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n004\"", \""n005\"", \""n008\"", \""n009\"", \""n012\"", \""n017\"", \""n022\"", \""n024\"", \""n025\"", \""n026\"", \""n027\"", \""n030\"", \""n033\"", \""n036\"", \""n037\"", \""n045\"", \""n046\"", \""n050\"", \""n051\"", \""n053\"", \""n056\"", \""n059\"", \""n060\"", \""n063\"", \""n064\"", \""n066\"", \""n068\"", \""n069\"", \""n080\"", \""n081\"", \""n084\"", \""n094\"", \""n095\"", \""n105\"", \""n110\"", \""n116\"", \""n117\"", \""n119\"", \""n120\""]""}]",n120,120,,,1,40,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_12,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_12.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_12,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_12.json,T2,n102,102,"[{""id"": ""task-answer"", ""answer"": ""[\""n102\""]""}]",,,n004,n027,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_12,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_12.json,T3,n003;n009;n014;n015;n020;n021;n023;n024;n025;n026;n032;n033;n035;n036;n038;n041;n043;n049;n050;n053;n056;n058;n062;n063;n067;n071;n073;n077;n079;n082;n084;n085;n087;n090;n091;n092;n093;n094;n096;n098;n104;n105;n108;n111;n114;n119;n120,3;9;14;15;20;21;23;24;25;26;32;33;35;36;38;41;43;49;50;53;56;58;62;63;67;71;73;77;79;82;84;85;87;90;91;92;93;94;96;98;104;105;108;111;114;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n009\"", \""n014\"", \""n015\"", \""n020\"", \""n021\"", \""n023\"", \""n024\"", \""n025\"", \""n026\"", \""n032\"", \""n033\"", \""n035\"", \""n036\"", \""n038\"", \""n041\"", \""n043\"", \""n049\"", \""n050\"", \""n053\"", \""n056\"", \""n058\"", \""n062\"", \""n063\"", \""n067\"", \""n071\"", \""n073\"", \""n077\"", \""n079\"", \""n082\"", \""n084\"", \""n085\"", \""n087\"", \""n090\"", \""n091\"", \""n092\"", \""n093\"", \""n094\"", \""n096\"", \""n098\"", \""n104\"", \""n105\"", \""n108\"", \""n111\"", \""n114\"", \""n119\"", \""n120\""]""}]",n120,120,,,2,47,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_13,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_13.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_13,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_13.json,T2,n037,37,"[{""id"": ""task-answer"", ""answer"": ""[\""n037\""]""}]",,,n019,n086,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_1_graph_13,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_13.json,T3,n007;n011;n013;n015;n022;n023;n024;n027;n029;n034;n037;n038;n044;n046;n051;n060;n067;n072;n074;n076;n077;n086;n091;n097;n100;n103;n110;n111;n113;n117;n118;n119;n120,7;11;13;15;22;23;24;27;29;34;37;38;44;46;51;60;67;72;74;76;77;86;91;97;100;103;110;111;113;117;118;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n007\"", \""n011\"", \""n013\"", \""n015\"", \""n022\"", \""n023\"", \""n024\"", \""n027\"", \""n029\"", \""n034\"", \""n037\"", \""n038\"", \""n044\"", \""n046\"", \""n051\"", \""n060\"", \""n067\"", \""n072\"", \""n074\"", \""n076\"", \""n077\"", \""n086\"", \""n091\"", \""n097\"", \""n100\"", \""n103\"", \""n110\"", \""n111\"", \""n113\"", \""n117\"", \""n118\"", \""n119\"", \""n120\""]""}]",n120,120,,,1,33,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_1_graph_14,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_14.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_1_graph_14,condition_1,traditional,to-link-or-not/graphs/lfr/condition_1/condition_1_graph_14.json,T2,n081,81,"[{""id"": ""task-answer"", ""answer"": ""[\""n081\""]""}]",,,n008,n017,,1,"NetworkX common_neighbors(anchor A, anchor B)"
